Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,2,Basic Education,daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,130.2,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Short cycle diploma holders,1,Tourism,daytime,Professional higher technical course,110.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",111.8,Yes,No,No,Yes,Female,Yes,21,No,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,149.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",137.1,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120.7,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,3rd phase - general contingent,1,Social Service,daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,137.4,Yes,No,No,Yes,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,127.3,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,137.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136.3,Yes,No,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,Basic Education,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124.6,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,No,No,No,Yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,3rd phase - general contingent,4,Oral Hygiene,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",121.8,Yes,No,No,Yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,142.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",125.5,Yes,No,No,Yes,Female,No,18,No,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,4,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",114.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,126.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123.9,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,151.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,157.0,Yes,No,Yes,Yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,2,Social Service,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116.4,Yes,No,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131.0,Yes,No,No,Yes,Female,No,18,No,0,5,9,5,12.66666667,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,1,Management,daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122.1,Yes,No,No,Yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",Armed Forces Professions,118.8,Yes,No,No,Yes,Male,No,19,No,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,150.0,Portuguese,Higher Education - Master's,Higher Education - Doctorate,Administrative staff,Specialists in Intellectual and Scientific Activities,150.0,No,No,No,Yes,Male,No,21,No,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled
single,Change of institution/course,1,Communication Design,daytime,Secondary education,125.0,Portuguese,Professional higher technical course,Higher Education - Degree,Specialists in information and communication technologies (ICT),"Specialists in finance, accounting, administrative organization, public and commercial relations",130.0,Yes,No,No,Yes,Male,No,20,No,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,Management,daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138.8,No,No,No,No,Male,No,18,No,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
single,3rd phase - general contingent,1,Social Service (evening attendance),evening,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
single,Over 23 years old,1,Biofuel Production Technologies,daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102.5,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,1,Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portuguese,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,128.8,Yes,No,No,Yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Change of course,1,Management,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122.9,No,No,No,Yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
divorced,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,113.9,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,1,Equinculture,daytime,Technological specialization course,120.0,Spanish,Higher Education - Master's,Higher Education - Master's,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.66666667,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,5,Journalism and Communication,daytime,Secondary education,126.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,2,Management,daytime,Secondary education,133.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",120.4,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,6,Nursing,daytime,Secondary education,103.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.6,Yes,Yes,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,109.7,No,No,No,Yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,1,Management (evening attendance),evening,Secondary education,154.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",134.1,No,No,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,2,Social Service,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,6,Nursing,daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
single,Technological specialization diploma holders,1,Social Service (evening attendance),evening,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133.4,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.1,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,1,Tourism,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.3,Yes,No,No,Yes,Female,Yes,19,No,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,3,Equinculture,daytime,Secondary education,167.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,159.3,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
married,Holders of other higher courses,1,Tourism,daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,1,Equinculture,daytime,Higher education - degree (1st cycle),129.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,1,Nursing,daytime,Secondary education,141.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,2,Nursing,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114.9,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate
single,Technological specialization diploma holders,1,Social Service,daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,131.9,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",126.0,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,1,Communication Design,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,130.2,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
single,Change of course,1,Communication Design,daytime,Secondary education,116.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.9,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
divorced,Transfer,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.0,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,139.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
